 164-172 E9.3   mW/m2/Hz FnuL     Linear combination model f({nu}) (2)
--------------------------------------------------------------------------------
Note (1): In units of erg/cm^2^/s.
Note (2): In units of erg/cm^2^/s/Hz.
--------------------------------------------------------------------------------
1e4 1.40832D+09 212872.812       6.938D+36 6.560D+36 6.195D+36 5.933D+36 5.852D+36 5.688D+36 5.936D+36 4.926D+27 4.658D+27 4.399D+27 4.213D+27 4.155D+27 4.039D+27 4.215D+27
1e4 1.53993D+09 194678.6066      7.521D+36 7.113D+36 6.715D+36 6.432D+36 6.344D+36 6.166D+36 6.436D+36 4.884D+27 4.619D+27 4.361D+27 4.177D+27 4.120D+27 4.004D+27 4.179D+27
1e4 1.68385D+09 178039.4262      8.163D+36 7.721D+36 7.292D+36 6.985D+36 6.892D+36 6.699D+36 6.990D+36 4.848D+27 4.585D+27 4.331D+27 4.148D+27 4.093D+27 3.978D+27 4.151D+27
1e4 1.84122D+09 162822.4284      8.837D+36 8.357D+36 7.891D+36 7.557D+36 7.454D+36 7.245D+36 7.563D+36 4.800D+27 4.539D+27 4.286D+27 4.104D+27 4.048D+27 3.935D+27 4.108D+27
1e4 2.01330D+09 148906.0492      1.253D+40 1.293D+40 1.338D+40 1.373D+40 1.398D+40 1.406D+40 1.381D+40 6.224D+30 6.422D+30 6.646D+30 6.820D+30 6.944D+30 6.984D+30 6.859D+30
1e4 2.20146D+09 136179.0232      1.038D+37 9.817D+36 9.268D+36 8.876D+36 8.755D+36 8.509D+36 8.883D+36 4.715D+27 4.459D+27 4.210D+27 4.032D+27 3.977D+27 3.865D+27 4.035D+27
1e4 2.40720D+09 124539.8286      1.125D+37 1.064D+37 1.004D+37 9.619D+36 9.488D+36 9.221D+36 9.626D+36 4.673D+27 4.420D+27 4.171D+27 3.996D+27 3.942D+27 3.831D+27 3.999D+27
1e4 2.63217D+09 113895.4445      4.259D+38 4.168D+38 4.062D+38 3.971D+38 3.928D+38 3.872D+38 3.983D+38 1.618D+29 1.583D+29 1.543D+29 1.509D+29 1.492D+29 1.471D+29 1.513D+29
1e4 2.87817D+09 104160.805       1.573D+37 1.507D+37 1.443D+37 1.397D+37 1.385D+37 1.355D+37 1.400D+37 5.465D+27 5.236D+27 5.014D+27 4.854D+27 4.812D+27 4.708D+27 4.864D+27
1e4 3.14716D+09  95258.16475     1.431D+37 1.353D+37 1.278D+37 1.224D+37 1.207D+37 1.173D+37 1.224D+37 4.547D+27 4.299D+27 4.061D+27 3.889D+27 3.835D+27 3.727D+27 3.889D+27
1e4 3.44128D+09  87116.46209     1.550D+37 1.466D+37 1.384D+37 1.325D+37 1.307D+37 1.271D+37 1.326D+37 4.504D+27 4.260D+27 4.022D+27 3.850D+27 3.798D+27 3.693D+27 3.853D+27
1e4 3.76290D+09  79670.63675     2.360D+37 2.295D+37 2.245D+37 2.218D+37 2.224D+37 2.197D+37 2.222D+37 6.272D+27 6.099D+27 5.966D+27 5.894D+27 5.910D+27 5.839D+27 5.905D+27
1e4 4.11457D+09  72861.19154     1.819D+37 1.720D+37 1.624D+37 1.555D+37 1.534D+37 1.491D+37 1.556D+37 4.421D+27 4.180D+27 3.947D+27 3.779D+27 3.728D+27 3.624D+27 3.782D+27
